财经指数,url,数据公布机构,发布频率,数据影响,数据释义,统计方法,关注原因,金银影响
西班牙零售销售年率,http://www.kxt.com/data/sprsrgiy+index.html,欧盟统计局,月报,"如果零售销售数据好于预期或好转，将利好欧元，反之若零售销售下降，将利空欧元。
",零售销售(Retail Sales)包括食物类、纺织类及家用类等分项指数，自2001年起每月固定发布该指数，并以1995年价格为基期平减。,统计每月零售销售的年率变化,是衡量消费者支出的首要工具，而消费者支出又是整体经济活动的最主要内容。,利空
西班牙季调后零售销售年率,http://www.kxt.com/data/sprswdsy+index.html,欧盟统计局,月报,"如果零售销售数据好于预期或好转，将利好欧元，反之若零售销售下降，将利空欧元。
",零售销售(Retail Sales)包括食物类、纺织类及家用类等分项指数，自2001年起每月固定发布该指数，并以1995年价格为基期平减。,零售行业销售的总价值变动，以年率变动进行考量,是衡量消费者支出的首要工具，而消费者支出又是整体经济活动的最主要内容。,利空
西班牙失业人数,http://www.kxt.com/data/spuechng+index.html,欧盟统计局,每月,"公布值
",是指（一定时期满足全部就业条件的就业人口中仍未有工作的劳动力数字），旨在衡量闲置中的劳动产能，是反映一个国家或地区失业状况的主要指标。失业数据的月份变动可适当反应经济发展。失业率与经济增长率具有反向的对应变动关系。,统计一定时期满足全部就业条件的就业人口中仍未有工作的劳动力数字,"是资本市场的重要指标，属滞后指标范畴。失业率增加是经济疲软的
信号，可导致政府放松银根，刺激经济增长；相反失业率下降，将形成通货膨胀，使央行收紧银根，减少货币投放。",利空
西班牙失业率季率,http://www.kxt.com/data/spunempr+index.html,欧盟统计局,季报,"公布值
",欧盟统计局 是指一定时期内，失业人口占劳动人口的比率（一定时期全部就业人口中有工作意愿而仍未有工作的劳动力数字），旨在衡量闲置中的劳动产能，是反映一个国家或地区失业状况的主要指标。,失业人数占总劳动人口的比例,失业率是最重要的经济指标之一，深受劳动市场供需以及经济循环之影响，失业率的高低，也反映了经济的运行状况。尽管被视为滞后指标，失业人口是衡量总体经济健康状况的重要信号，因消费者支出与就业市场条件高度关联。,利空
西班牙GDP季率终值,http://www.kxt.com/data/spnagdpq+indexf.html,欧盟统计局,季报,"公布值>预测值=利好欧元
","GDP即英文gross domestic product的缩写，也就是国内生产总值,（港台地区有翻译为国内生产毛额、本地生产总值）。通常对GDP的定义为：一定时期内（一个季度或一年），一个国家或地区的经济中所生产出的全部最终产品和提供劳务的市场价值的总值。",统计上一季度经济总量的变化，公布季率和年率数据,GDP是衡量一国经济运行状况的最重要指标之一，央行将据此调整货币政策。,利多
西班牙GDP季率初值,http://www.kxt.com/data/spnagdpq+indexp.html,欧盟统计局,季报,"公布值>预测值=利好欧元
","GDP即英文gross domestic product的缩写，也就是国内生产总值,（港台地区有翻译为国内生产毛额、本地生产总值）。通常对GDP的定义为：一定时期内（一个季度或一年），一个国家或地区的经济中所生产出的全部最终产品和提供劳务的市场价值的总值。",统计上一季度经济总量的变化，公布季率和年率数据,GDP是衡量一国经济运行状况的最重要指标之一，央行将据此调整货币政策。,利多
西班牙GDP年率初值,http://www.kxt.com/data/spnagdpy+indexp.html,欧盟统计局,每季度一次,"公布值>预测值=利好欧元
","GDP即英文gross domestic product的缩写，也就是国内生产总值,（港台地区有翻译为国内生产毛额、本地生产总值）。通常对GDP的定义为：一定时期内（一个季度或一年），一个国家或地区的经济中所生产出的全部最终产品和提供劳务的市场价值的总值。",统计上一季度经济总量的变化，公布季率和年率数据,GDP是衡量一国经济运行状况的最重要指标之一，央行将据此调整货币政策。,利多
西班牙未季调工业产出年率,http://www.kxt.com/data/spioyoy+index.html,INE,每月一次,"公布值>预期值=利好欧元
",指经工业过程所生产出的各种产品，包括两部分的内容：一部分是满足人们的生活需要，如食品、服装、电视机、电冰箱等，另一部分是用来满足生产的需要，如钢铁、机械、化肥、农药等。, 工业产值衡量下列产业内工业设施的产出：采矿和采石、制造业和公用设施（电力、燃气和供水）。产量基于产出量。,工业产值通常被认为是衡量制造业活跃程度的主要指标。数据上升表明工业产出增加，经济扩张，利多欧元，反之则利空欧元。,利多
西班牙调后工业产出年率,http://www.kxt.com/data/spiowsay+index.html,INE,每月一次,"公布值>预期值=利好欧元
",指经工业过程所生产出的各种产品，包括两部分的内容：一部分是满足人们的生活需要，如食品、服装、电视机、电冰箱等，另一部分是用来满足生产的需要，如钢铁、机械、化肥、农药等。,工业产值衡量下列产业内工业设施的产出：采矿和采石、制造业和公用设施（电力、燃气和供水）。产量基于产出量。,工业产值通常被认为是衡量制造业活跃程度的主要指标。数据上升表明工业产出增加，经济扩张，利多欧元，反之则利空欧元。,利多
西班牙调和CPI月率初值,http://www.kxt.com/data/spcpeumm+indexp.html,INE,每月,"公布值>预期值=利好欧元
",消费者物价调和指数（HICP）主要在欧盟范围内使用，是衡量消费者为商品和服务市场篮子所支付价格的指标。对各国采用相同方法计算，使通胀衡量指标具有可比性。年度（或月度）增长率代表通胀率,消费者购买商品及服务的价格变动,是衡量通胀的关键指标。一般来说，如数据上升将利好欧元；反之，数据下滑则利空欧元。,利多
西班牙调和CPI年率初值,http://www.kxt.com/data/spcpeuyy+indexp.html,西班牙国家统计局,月报,"公布值>预期值=利好欧元
",消费者价格指数(Consumer Price Index)，也称消费者物价指数，英文缩写为CPI，是对一个固定的消费品篮子价格的衡量，主要反映消费者支付商品和劳务的价格变化情况，也是一种度量通货膨胀水平的工具， 以百分比变化为表达形式。同时也是用以衡量与居民生活有关的产品及劳务价格统计出来的物价变动指针。,消费者购买商品及服务的价格变动,该指数下跌，反映经济衰退，必然对货币汇率是衡量通胀的关键指标。一般来说，如数据上升将利好欧元；反之，数据下滑则利空欧元。走势不利。但如果消费物价指数上升，汇率是否一定有利好呢?不一定，须看消费物价指数“升幅”如何。倘若该指数升幅温和，则表示经济稳定向上，当然对该国货币有利，但如果该指数升幅过大却有不良影响，因为物价指数与购买能力成反比，物价越贵，货币的购买能力越低，必然对该国货币不利。,利多
西班牙综合PMI,http://www.kxt.com/data/mpmiesca+index.html,Markit,每月,"公布值>预测值=利好欧元
",基于对采购经理人调查的一个衡量经济发展状况的指标,对制造业和服务业企业进行调查；受访者对商业形势的相对水平作出判断性评论，其问题包括就业形势、生产形势、新订单、价格、供应商交货及库存情况。,是经济健康状况的领先性指标;企业能对市场形势作出迅速反应，而其采购经理人可能代表着该企业对经济主要的观点。,利空
西班牙制造业PMI,http://www.kxt.com/data/mpmiesma+index.html, Markit, 每月,"公布值>预测值=利好欧元
",制造业PMI指数为制造业采购经理指数。, PMI调查追踪制造业、建筑业及/或服务公司采购经理的信心状况。综合信心指数一般根据生产、订单、库存、就业、价格等方面的调查结果来计算。,PMI指数50为荣枯分水线。当PMI大于50时，说明经济在发展，当PMI小于50时，说明经济在衰退。,利空
